district,road_type,authority,email,depot_lat,depot_lon
Petaling,Federal,JKR Petaling,aduan.petalingjkr@gmail.com,3.1073,101.6067
Petaling,State,JKR Petaling,aduan.petalingjkr@gmail.com,3.1073,101.6067
Petaling,Municipal,MBPJ,aduan.mbpj@gmail.com,3.0993,101.6445
Hulu Langat,Federal,JKR Hulu Langat,aduan.hululangatjkr@gmail.com,2.9935,101.7885
Hulu Langat,State,JKR Hulu Langat,aduan.hululangatjkr@gmail.com,2.9935,101.7885
Hulu Langat,Municipal,MPAJ,aduan.mpaj@gmail.com,3.1319,101.7620
Gombak,Federal,JKR Gombak,aduan.gombakjkr@gmail.com,3.2384,101.6663
Gombak,State,JKR Gombak,aduan.gombakjkr@gmail.com,3.2384,101.6663
Gombak,Municipal,MPS,aduan.mps@gmail.com,3.2504,101.6542
Klang,Federal,JKR Klang,aduan.klangjkr@gmail.com,3.0449,101.4456
Klang,State,JKR Klang,aduan.klangjkr@gmail.com,3.0449,101.4456
Klang,Royal City,MBDK,aduan.mbdk@gmail.com,3.0428,101.4446
Kuala Langat,Federal,JKR Kuala Langat,aduan.kualalangatjkr@gmail.com,2.8150,101.4988
Kuala Langat,State,JKR Kuala Langat,aduan.kualalangatjkr@gmail.com,2.8150,101.4988
Kuala Langat,Municipal,MHL,aduan.mphl@gmail.com,2.8122,101.4995
Sepang,Federal,JKR Sepang,aduan.sepangjkr@gmail.com,2.8188,101.7402
Sepang,State,JKR Sepang,aduan.sepangjkr@gmail.com,2.8188,101.7402
Sepang,Municipal,MPSepang,aduan.mpsepang@gmail.com,2.9200,101.6420
Sabak Bernam,Federal,JKR Sabak Bernam,aduan.sabakbernamjkr@gmail.com,3.7686,100.9880
Sabak Bernam,State,JKR Sabak Bernam,aduan.sabakbernamjkr@gmail.com,3.7686,100.9880
Sabak Bernam,District Council,MDSB,aduan.mdsb@gmail.com,3.7690,100.9875
Kuala Selangor,Federal,JKR Kuala Selangor,aduan.kualaselangorjkr@gmail.com,3.3364,101.2504
Kuala Selangor,State,JKR Kuala Selangor,aduan.kualaselangorjkr@gmail.com,3.3364,101.2504
Kuala Selangor,Municipal,MPKS,aduan.mpks@gmail.com,3.3340,101.2520
Hulu Selangor,Federal,JKR Hulu Selangor,aduan.huluselangorjkr@gmail.com,3.5640,101.6582
Hulu Selangor,State,JKR Hulu Selangor,aduan.huluselangorjkr@gmail.com,3.5640,101.6582
Hulu Selangor,District Council,MDHS,aduan.mdhs@gmail.com,3.5630,101.6590
